neigh_num,name,area_sqkm,lat,long,loc
5080,Brander Gardens,1.016692621953033,53.495209,-113.579425,"(53.4952094952786, -113.57942475786191)"
3340,Pembina,0.572524267208096,53.603168,-113.542845,"(53.603167658136954, -113.54284507006786)"
4590,West Meadowlark Park,1.117036551148202,53.525605,-113.609059,"(53.52560545219322, -113.60905865102711)"
2060,Bellevue,0.513746726911914,53.566417,-113.445942,"(53.56641742802701, -113.4459424714739)"
4070,Callingwood North,0.910734691847471,53.507598,-113.623025,"(53.50759781965531, -113.62302472643434)"
5110,Calgary Trail North,0.747187987733586,53.490156,-113.494069,"(53.49015648249295, -113.49406920204233)"
2660,Rundle Heights,0.823978434242844,53.563221,-113.391922,"(53.56322137092283, -113.39192226136683)"
4050,Bonaventure Industrial,1.272696223911534,53.591525,-113.572160,"(53.59152496256268, -113.57216038842219)"
4490,Sheffield Industrial,0.379683785574716,53.560816,-113.596596,"(53.56081597101263, -113.5965957203426)"
3280,Lorelei,1.220997712273819,53.624593,-113.504466,"(53.62459274085614, -113.5044657658413)"
6450,Menisa,0.894269779202361,53.442070,-113.447375,"(53.44206966002856, -113.44737492672971)"
4520,Summerlea,1.100465963285099,53.525627,-113.622633,"(53.525626554193735, -113.6226333182321)"
4220,Jamieson Place,1.083080354979058,53.488707,-113.649020,"(53.48870738352453, -113.64901967176178)"
3240,Inglewood,1.649851099326518,53.564606,-113.540852,"(53.56460646698089, -113.54085217081176)"
6170,Davies Industrial West,1.327018209618499,53.498436,-113.450360,"(53.49843616738653, -113.45036017950241)"
1070,Cromdale,0.358879384062319,53.559061,-113.469043,"(53.55906091693039, -113.46904309070749)"
3290,McArthur Industrial,0.574668017159092,53.594324,-113.564262,"(53.59432400115759, -113.56426243493866)"
2550,Montrose,1.310414149970197,53.575116,-113.442230,"(53.575116228950925, -113.44223029635958)"
4150,Gagnon Estate Industrial,0.55669477894974,53.580184,-113.585795,"(53.58018417365767, -113.58579493909596)"
2560,Newton,1.06555646472386,53.576424,-113.424532,"(53.576424371861776, -113.42453203198151)"
3430,Wellington,1.219223012234564,53.595833,-113.552695,"(53.59583297330853, -113.55269493747761)"
4021,Anthony Henday Horse Hill,1.121864287908397,53.633205,-113.387470,"(53.6332051337456, -113.38747011290718)"
6211,Ellerslie,1.579639761104696,53.428545,-113.457731,"(53.428545409104174, -113.45773137943719)"
6430,McIntyre Industrial,1.570014697373235,53.490341,-113.454914,"(53.490341069590805, -113.45491429706715)"
4011,Anthony Henday,4.678333900116764,53.541319,-113.659059,"(53.541319383564954, -113.65905896242053)"
1220,Rossdale,0.903141360916718,53.533155,-113.495797,"(53.53315473451525, -113.49579654469292)"
2230,Delwood,1.334660715471908,53.595949,-113.455130,"(53.59594894276053, -113.4551303486196)"
2380,Kennedale Industrial,1.322438215657752,53.590871,-113.423376,"(53.59087125320072, -113.42337550041242)"
5250,Keheewin,1.265769698424602,53.450243,-113.504513,"(53.4502425302549, -113.50451286669657)"
6443,Tamarack,2.561403711227974,53.464814,-113.359165,"(53.464813893760294, -113.35916549156642)"
5070,Blue Quill Estates,0.442512680217301,53.457627,-113.540195,"(53.45762655689608, -113.54019499594257)"
2160,Clover Bar Area,19.303520529674476,53.591512,-113.333357,"(53.59151239160218, -113.33335678335305)"
3180,Dunluce,2.227150604289979,53.621473,-113.530183,"(53.621472989031105, -113.53018332460985)"
3470,Carlton,1.206292175513692,53.621652,-113.559373,"(53.62165163516955, -113.55937325056279)"
